# PSC, Per-sample counts. Note that the ref/het/hom counts include only SNPs, for indels see PSI. The rest include both SNPs and indels.
# PSI, Per-Sample Indels
# PSI	[2]id	[3]sample	[4]in-frame	[5]out-frame	[6]not applicable	[7]out/(in+out) ratio	[8]nHets	[9]nAA
PSI	0	biomap_3IIH6	0	0	0	0.00	1463574	182015
PSI	0	biomap_A188	0	0	0	0.00	517415	1324863
PSI	0	biomap_AS5707	0	0	0	0.00	495227	1314064
PSI	0	biomap_B84	0	0	0	0.00	302768	722974
PSI	0	biomap_CR1Ht	0	0	0	0.00	545469	1265218
PSI	0	biomap_DKHBA1	0	0	0	0.00	493016	1261003
PSI	0	biomap_FBLL	0	0	0	0.00	209450	337065
PSI	0	biomap_LH123Ht	0	0	0	0.00	473396	1216413
PSI	0	biomap_LH145	0	0	0	0.00	418476	1053071
PSI	0	biomap_LH146Ht	0	0	0	0.00	285017	700583
PSI	0	biomap_LH156	0	0	0	0.00	478942	1265093
PSI	0	biomap_LH168	0	0	0	0.00	455912	1243727
PSI	0	biomap_LH185	0	0	0	0.00	517222	1312672
PSI	0	biomap_LH198	0	0	0	0.00	139275	293929
PSI	0	biomap_LH200	0	0	0	0.00	183066	394485
PSI	0	biomap_LH59	0	0	0	0.00	465958	1272351
PSI	0	biomap_LH74	0	0	0	0.00	200462	447851
PSI	0	biomap_LH82	0	0	0	0.00	470311	1248631
PSI	0	biomap_LH85	0	0	0	0.00	505479	1313480
PSI	0	biomap_LH93	0	0	0	0.00	532963	1302362
PSI	0	biomap_Mo17	0	0	0	0.00	516193	1286221
PSI	0	biomap_Mo44	0	0	0	0.00	392877	1202495
PSI	0	biomap_Mo45	0	0	0	0.00	517538	1298359
PSI	0	biomap_MoG	0	0	0	0.00	477259	1320527
PSI	0	biomap_NC230	0	0	0	0.00	476095	1289988
PSI	0	biomap_NKH8431	0	0	0	0.00	353448	918260
PSI	0	biomap_NP899	0	0	0	0.00	470200	1233580
PSI	0	biomap_Oh43	0	0	0	0.00	506167	1285804
PSI	0	biomap_PH207	0	0	0	0.00	529024	1184827
PSI	0	biomap_PHAA0	0	0	0	0.00	491968	1175691
PSI	0	biomap_PHB47	0	0	0	0.00	446604	1118315
PSI	0	biomap_PHG29	0	0	0	0.00	504010	1248944
PSI	0	biomap_PHG35	0	0	0	0.00	639134	1193380
PSI	0	biomap_PHG39	0	0	0	0.00	456447	1120027
PSI	0	biomap_PHG47	0	0	0	0.00	519477	1274077
PSI	0	biomap_PHG50	0	0	0	0.00	495738	1263257
PSI	0	biomap_PHG72	0	0	0	0.00	834496	919020
PSI	0	biomap_PHG83	0	0	0	0.00	119606	171486
PSI	0	biomap_PHJ40	0	0	0	0.00	484329	1223875
PSI	0	biomap_PHJ89	0	0	0	0.00	485810	1238161
PSI	0	biomap_PHK46	0	0	0	0.00	450429	1244535
PSI	0	biomap_PHK56	0	0	0	0.00	501286	1269096
PSI	0	biomap_PHK76	0	0	0	0.00	485876	1276775
PSI	0	biomap_PHKM5	0	0	0	0.00	368896	1173583
PSI	0	biomap_PHMK0	0	0	0	0.00	378496	1045943
PSI	0	biomap_PHN11	0	0	0	0.00	512889	1227450
PSI	0	biomap_PHN46	0	0	0	0.00	475747	1292477
PSI	0	biomap_PHP02	0	0	0	0.00	481172	1203861
PSI	0	biomap_PHP38	0	0	0	0.00	390806	977008
PSI	0	biomap_PHR03	0	0	0	0.00	488037	1205012
PSI	0	biomap_PHT11	0	0	0	0.00	346307	818826
PSI	0	biomap_PHV78	0	0	0	0.00	459195	1265426
PSI	0	biomap_PHW52	0	0	0	0.00	306882	747178
PSI	0	biomap_PHW65	0	0	0	0.00	518270	1292130
PSI	0	biomap_SCRO1	0	0	0	0.00	477292	1212679
PSI	0	biomap_W182Ngt	0	0	0	0.00	443611	1228741
PSI	0	biomap_W37A	0	0	0	0.00	485501	1284011
PSI	0	biomap_W604S	0	0	0	0.00	483880	1255873
PSI	0	biomap_W605S	0	0	0	0.00	550006	1317937
PSI	0	biomap_W606S	0	0	0	0.00	438985	1219668
PSI	0	hmp2_B73-1	0	0	0	0.00	2573	1924
PSI	0	hmp2_CAUMO17	0	0	0	0.00	95544	683570
PSI	0	hmp2_MO17	0	0	0	0.00	39941	383892
PSI	0	hmp2_W22	0	0	0	0.00	82299	590549
PSI	0	hmp3_B73	0	0	0	0.00	20354	18474
PSI	0	hmp3_LH145	0	0	0	0.00	3281	61714
PSI	0	hmp3_LH156	0	0	0	0.00	18032	223571
PSI	0	hmp3_LH59	0	0	0	0.00	6815	105528
PSI	0	hmp3_LH74	0	0	0	0.00	18997	126816
PSI	0	hmp3_LH82	0	0	0	0.00	15981	177041
PSI	0	hmp3_LH85	0	0	0	0.00	2976	57988
PSI	0	hmp3_Mo17	0	0	0	0.00	330959	1048900
PSI	0	hmp3_Oh43	0	0	0	0.00	283147	951394
PSI	0	hmp3_PH207	0	0	0	0.00	1977	43147
PSI	0	hmp3_PHG35	0	0	0	0.00	14071	171037
PSI	0	hmp3_PHG39	0	0	0	0.00	6485	78730
PSI	0	hmp3_PHG47	0	0	0	0.00	4610	84721
PSI	0	hmp3_PHG72	0	0	0	0.00	7303	102339
PSI	0	hmp3_PHJ40	0	0	0	0.00	361	10745
PSI	0	hmp3_PHP02	0	0	0	0.00	19424	75316
PSI	0	hmp3_W22	0	0	0	0.00	332268	1037613
