# PSC, Per-sample counts. Note that the ref/het/hom counts include only SNPs, for indels see PSI. The rest include both SNPs and indels.
# PSC	[2]id	[3]sample	[4]nRefHom	[5]nNonRefHom	[6]nHets	[7]nTransitions	[8]nTransversions	[9]nIndels	[10]average depth	[11]nSingletons	[12]nHapRef	[13]nHapAlt	[14]nMissing
PSC	0	biomap_3IIH6	100517657	1427436	13916696	10926958	4085147	1645589	15.6	110070	0	0	3419779
PSC	0	biomap_A188	81128570	10838957	8522152	13871777	5077781	1842278	14.6	1069955	0	0	18589740
PSC	0	biomap_AS5707	84493235	10313792	8538058	13445903	4999029	1809291	26.0	706646	0	0	15768233
PSC	0	biomap_B84	98970562	5528958	5074815	7553552	2814047	1025742	34.0	252897	0	0	10351669
PSC	0	biomap_CR1Ht	85886223	10061858	8850913	13468684	5042769	1810687	28.4	498485	0	0	14316654
PSC	0	biomap_DKHBA1	86975905	9936656	8496727	13170104	4868692	1754019	30.4	621774	0	0	13763927
PSC	0	biomap_FBLL	106363872	2564195	3216428	4144585	1506540	546515	14.5	112393	0	0	8279248
PSC	0	biomap_LH123Ht	87490918	9328382	7777902	12176293	4554982	1689809	27.4	213531	0	0	14639858
PSC	0	biomap_LH145	91134709	8118253	6900197	10689642	3999343	1471547	29.0	254169	0	0	13311038
PSC	0	biomap_LH146Ht	96144266	5260863	4746687	7173332	2610240	985600	13.0	166134	0	0	13814024
PSC	0	biomap_LH156	86522010	9801373	8045622	12712944	4748043	1744035	26.4	466379	0	0	14812188
PSC	0	biomap_LH168	82216735	9985391	7424731	12459634	4574741	1699639	12.8	321097	0	0	19599559
PSC	0	biomap_LH185	80797330	10709841	8586686	13833949	5052291	1829894	14.5	360817	0	0	19000429
PSC	0	biomap_LH198	109144400	1926740	2338767	3049999	1113903	433204	14.5	54120	0	0	7131309
PSC	0	biomap_LH200	105121943	2987573	3121778	4375979	1598855	577551	15.2	143947	0	0	9160959
